run_id,batch_size,operation,n,mean_gas,median_gas,min_gas,max_gas,evidence_type,source_file
gas-throughput-30rep-7dff9b5,0,authorize_signer,30,47790.0,47790.0,47790,47790,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,0,deploy_ledger,1,2540175.0,2540175.0,2540175,2540175,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,0,deploy_mock_verifier,1,189952.0,189952.0,189952,189952,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,0,deploy_signed_verifier_v2,1,828703.0,828703.0,828703,828703,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,0,grant_verifier_role,1,48891.0,48891.0,48891,48891,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,0,revoke_signer,30,25878.0,25878.0,25878,25878,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,0,set_verifier_contract,1,49988.0,49988.0,49988,49988,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,archive_round,30,30919.0,30919.0,30919,30919,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,close_submissions,30,30614.0,30614.0,30614,30614,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,create_round,30,47576.0,47576.0,47576,47576,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,publish_global_model,30,242584.2,242595.0,242559,242595,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,register_node,30,47872.8,47874.0,47850,47874,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,start_aggregation,30,30757.0,30757.0,30757,30757,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,1,submit_model,30,483602.6,483629.0,483533,483629,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,archive_round,30,30919.0,30919.0,30919,30919,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,close_submissions,30,30614.0,30614.0,30614,30614,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,create_round,30,47576.0,47576.0,47576,47576,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,publish_global_model,30,347470.8,347496.0,347412,347496,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,register_node,150,47872.24,47874.0,47850,47874,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,start_aggregation,30,30757.0,30757.0,30757,30757,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,5,submit_model,150,469920.28,466529.0,466421,483629,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,archive_round,30,30919.0,30919.0,30919,30919,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,close_submissions,30,30614.0,30614.0,30614,30614,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,create_round,30,47576.0,47576.0,47576,47576,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,publish_global_model,30,478739.8,478783.0,478639,478783,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,register_node,300,47872.56,47874.0,47850,47874,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,start_aggregation,30,30757.0,30757.0,30757,30757,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,10,submit_model,300,468294.32,466613.0,466505,483713,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,archive_round,30,30919.0,30919.0,30919,30919,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,close_submissions,30,30614.0,30614.0,30614,30614,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,create_round,30,47576.0,47576.0,47576,47576,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,publish_global_model,30,741196.8,741276.0,741012,741276,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,register_node,600,47872.2,47874.0,47850,47874,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,start_aggregation,30,30757.0,30757.0,30757,30757,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
gas-throughput-30rep-7dff9b5,20,submit_model,600,467481.4,466613.0,466505,483713,measured_hardhat,outputs/major_revision/gas-throughput-30rep-7dff9b5/blockchain/gas_summary.csv
